Code,Title,Index_Terms
SK00,"Cephalalgia disorder (TM2)","(a) śiraḥśūla, (b) Maṇṭaikkuttiyal, (c) Ṣudā‘"
SK01,"Migraine disorder (TM2)","(a) ardhāvabhedakaḥ (c) Shaqīqa"
SK0Y,"Other specified headache disorders (TM2)","lalāṭabhedaḥ"
SK0Z,"Headache disorders (TM2), unspecified","Headache disorders (TM2), unspecified"
SK10,"Vertigo and giddiness disorder (TM2)","(a) bhramaḥ (b) Aẕal kiṟukiṟuppu (c) Sadr-o-Duwār"
SK1Y,"Other specified nervous system disorders (TM2)","Other specified nervous system disorders (TM2)"
SK1Z,"Nervous system disorders (TM2), unspecified","Nervous system disorders (TM2), unspecified"
SK20,"Facial palsy disorder (TM2)","(a) arditaḥ (b) Uraka vātam (c) Laqwa"
SK21,"Paraplegia disorder (TM2)","(a) paṅguḥ (c) Fālij Asfal"
SK22,"Hemiplegia disorder (TM2)","(a) pakṣāghāta (b) Pakṣavātam (c) Fālij"
SK2Y,"Other specified paralysis disorders (TM2)","khañjaḥ/khañjatvam"
SK2Z,"Paralysis disorders (TM2), unspecified","Paralysis disorders (TM2), unspecified"
SK30,"Seizure disorder (TM2)","(a) ākṣepakaḥ (b) Vaḷippu (c) Tashannuj"
SK31,"Epilepsy disorder (TM2)","(a) apasmāraḥ (b) Vaḷi ppu (c) Ṣar‘"
SK3Y,"Other specified seizure disorders (TM2)","Other specified seizure disorders (TM2)"
SK3Z,"Seizure disorders (TM2), unspecified","Seizure disorders (TM2), unspecified"
SK50,"Scalp affliction disorder (TM2)","(a) kapāla-rogaḥ (b) Kapāla tērai"
SK51,"Cervicobrachial pain disorder (TM2)","(a) viśvācī (b) Cirakkampa vātam (c) Waja‘ al-‘Unuq ‘Aṣabī"
SK52,"Tremor disorder (TM2)","(a) kampaḥ (b) Pāṇikkampa vātam (c) Ra‘sha"
SK53,"Stammering disorder (TM2)","(a) vāk-saṅgaḥ (b) Patita vātam (c) Loknat-e zabAn / Luknat"
SK54,"Numbness disorder (TM2)","(a) prasuptiḥ (b) Vātakarṣaṇam (c) Khadar"
SK5Y,"Other specified head, brain, nerve and movement disorders (TM2)","bhrūvyudāsaḥ"
SK5Z,"Head, brain, nerve and movement disorders (TM2), unspecified","Head, brain, nerve and movement disorders (TM2), unspecified"
SK60,"Ocular hyperemia disorder (TM2)","(a) sirotpātaḥ (b) Viraṇa nerical "
SK61,"Prolapse iris disorder (TM2)","(a) ajakā (UNA) Ra’s al-Dhubābī"
SK62,"Blepharitis disorder (TM2)","(a) vartmāvabandhakaḥ (b) Imai Taṭippu (c) Sulāq"
SK63,"Day blindness disorder (TM2)","(a) divāndhyam (c) Rozkorī"
SK64,"Night blindness disorder (TM2)","(a) doṣavidagdhadṛṣṭiḥ"
SK65,"Cataract disorder (TM2)","(a) kācaḥ (b) Vaḷi kācam (c) Nuzūl al-Mā’"
SK66,"Conjunctivitis disorder (TM2)","(a) abhiṣyandaḥ (b) Aṉṉa kōpam (c) Ramad"
SK67,"Corneal disorder (TM2)","(a) pākātyayaḥ (b) Ceri Veri"
SK68,"Tear sac swelling disorder (TM2)","(a) pūyālasaḥ (b) Kuvaḷaippaṭuvaṉ (c) Gharab Munfajir"
SK69,"Eyelid cyst disorder (TM2)","(a) kumbhīkā (b) Viraṇap Paru (c) Sal‘a al-Ajfān"
SK6A,"Dry eye disorder (TM2)","(a) śuṣkākṣipākaḥ (c) Yubs al-Qarniyya"
SK6B,"Ectropion disorder (TM2)","(b) Imaiyuyarcci (c) Shatra Khārijiyya"
SK6C,"Pterygium disorder (TM2)","(a) prastāri-arma (b) Nākap paṭalam (c) Ẓafara"
SK6D,"Lacrimation disorder (TM2)","(a) srāvaḥ (b) Nīr vari (c) Dam‘a"
SK6E,"Trichiasis disorder (TM2)","(a) pakṣmakopaḥ (b) Muṭa mayir (c) Sha‘r Munqalib"
SK6F,"Eyelid tumour disorder (TM2)","(a) vartmārbudaḥ (b) Tacai kaẕalai (c) Uqda al-‘Ayn"
SK6G,"Hard swelling of eyelid disorder (TM2)","(a) śuṣkārśaḥ (c) Taḥajjur al-Ajfān"
SK6H,"Eyelid wart disorder (TM2)","(a) vartmagata-raktārśaḥ (c) Tha’ālīl al-Ajfān"
SK6J,"Excessive blinking disorder (TM2)","(a) nimeṣaḥ (c) Ṭarf al-Ajfān"
SK6K,"Eyelid haematoma disorder (TM2)","(a) śyāvavartma (b) Irattakkaẕalai"
SK6L,"Ptosis disorder (TM2)","(a) kṛcchronmīlaḥ (b) Viẕi vali (c) Istirkhā’ al-Jafn"
SK6M,"Sticky eyelids disorder (TM2)","(a) śliṣṭa-vartma (c) Iltiṣāq al-Jafn"
SK6N,"Chalazion disorder (TM2)","(a) lagaṇaḥ (c) Barada"
SK6P,"Stye disorder (TM2)","(a) añjananāmikā (b) Nīr paṟpa rōkam (c) Sha‘īra"
SK6Q,"Ptilosis disorder (TM2)","(a) pakṣmaśātaḥ (b) Iratta Kaẕalai (c) Intithār al-Ahdāb"
SK6R,"Non-inflammatory swelling of eye disorder (TM2)","(a) aśophapākaḥ (c) Intifākh Rīḥī"
SK6S,"Periorbital polyp disorder (TM2)","(a) netraja-arśaḥ (b) Viraṇap paru"
SK6T,"Phlyctenular nodule disorder (TM2)","(a) sirājapiḍakā (c) Ramad Buthūrī"
SK6U,"Trachoma disorder (TM2)","(a) pothakī (b) Kuvaḷaipaṭuvaṉ (c) Jarab al-‘Ayn"
SK6V,"Corneal opacity disorder (TM2)","(a) avraṇaśukraḥ (b) Viraṇa Cukkiraṉ (c) Bayāḍ al-‘Ayn"
SK6W,"Panopthalmitis disorder (TM2)","(a) saśophapākaḥ (b) Mataṉamantāram (c) Wardīnaj"
SK6X,"Phthisis bulbi disorder (TM2)","(a) hatādhimanthaḥ (c) Sill al-‘Ayn"
SK7Y,"Other specified eye disorders (TM2)","(a) vidagdhoṣṇaḥ"
SK7Z,"Eye disorders (TM2), unspecified","Eye disorders (TM2), unspecified"
SK80,"Ear abscess disorder (TM2)","(a) karṇa-vidradhiḥ (b) Curōṇita cevivaḷi (c) Qurūḥ al-Udhun"
SK81,"Deafness disorder (TM2)","(a) Bādhirya"
SK82,"Otorrhoea disorder (TM2)","(a) karṇa-srāvaḥ (b) Cīẕ cevi eẕucci (c) Sayalān al-Udhun"
SK83,"Pruritus of ear disorder (TM2)","(a) karṇa-kaṇḍū (b) Tēmalkātu karappāṉ (c) Ḥikka al-Udhun"
SK84,"Dysacousia disorder (TM2)","(a) uccaiḥśrutiḥ (c) Harb al-Udhun"
SK85,"Impacted cerumen disorder (TM2)","(a) karṇa-gūthakaḥ (c) Wasakh al-Udhun"
SK86,"Tinnitus disorder (TM2)","(a) aśabdaśravaṇam"
SK87,"Otalgia disorder (TM2)","(a) karṇaśūlaḥ (b) Karṉāvarttam nōkkāṭu (c) Waja‘ al-Udhun"
SK88,"Otitis disorder (TM2)","(a) karṇa-śophaḥ (b) Ceviviṟai Vaḷi (c) Iltihāb al-Udhun"
SK89,"Pustules of pinna disorder (TM2)","(a) Parilehi (b) Kuruti cevi paru (c) Buthūr al-Aṣdāgh"
SK8Y,"Other specified ear disorders (TM2)","Aggrevation of Aẕal and worm infestation disorder (TM2)"
SK8Z,"Ear disorders (TM2), unspecified","Ear disorders (TM2), unspecified"
SK90,"Epistaxis disorder (TM2)","(a) nāsāgata-raktapittam (c) Ru‘āf"
SK91,"Anosmia disorder (TM2)","(a) ghrāṇanāśaḥ (b) Vācaṉai nilaiyaṟital (c) Khasham"
SK92,"Dry nose disorder (TM2)","(a) puṭakaḥ (c) Jafāf al-Anf"
SK93,"Atrophic rhinitis disorder (TM2)","(a) nāsāśoṣaḥ (c) Iltihāb al-Anf Ḍumūrī"
SK94,"Nasal polyp disorder (TM2)","(a) nāsārśaḥ (b) Mūkku Kaẕalai (c) Bawāsīr al-Anf"
SK95,"Rhinitis disorder (TM2)","(a) pīnasaḥ"
SK96,"Coryza and catarrh disorder (TM2)","(a) ghrāṇasrāvaḥ (c) Nazla"
SK97,"Nasal obstruction disorder (TM2)","(a) nāsānāhaḥ (b) Kaẕuttu mūkkaṭaippu (c) Sudda-i-Khayshūm"
SK98,"Ozaena disorder (TM2)","(a) pūtināsā (b) Cirāy mūkkaṭaippu (c) Bakhr al-Anf"
SK99,"Sinusitis disorder (TM2)","(b) Mūkkaṭaippu nōy (c) Iltihāb-i-Tajāwīf al-Anf"
SK9A,"Adenoiditis disorder (TM2)","(a) kaṇṭhaśālūkaḥ (c) Iltihāb-i-Tajāwīf Ḥulqūmī Anfī"
SK9Y,"Other specified nose disorders (TM2)","Anosphrasia"
SK9Z,"Nose disorders (TM2), unspecified","Nose disorders (TM2), unspecified"
SL00,"Throat tumour disorder (TM2)","galārbudaḥ"
SL01,"Retropharyngeal abscess disorder (TM2)","(a) śataghnī (c) Khurāj Ḥalaqī Khalfī"
SL02,"Hoarseness of voice disorder (TM2)","(a) kaṇṭhodhvaṃsaḥ (b) Kural kammal (c) Buḥḥa al-Ṣawt"
SL03,"Indistinct- abnormal voice disorder (TM2)","(a) svarabhedaḥ (c) Khalal al-Ṣawt"
SL04,"Severe throat inflammation disorder (TM2)","(a) rohiṇī (b) Varaṭ kaṇam (c) Khunāq Wabā’ī"
SL05,"Pharyngitis disorder (TM2)","(a) balāsaḥ (b) Kāca pittam (c) Waram-i-Ḥalq"
SL06,"Tonsillitis disorder (TM2)","(a) tuṇḍikerī (c) Waram al-Lawzatayn"
SL07,"Speech disorder (TM2)","(a) mūkatvam (c) Inqiṭā‘ al-Ṣawt"
SL08,"Lymphadenopathy in throat region disorder (TM2)","(a) gaṇḍamālā (b) Kaṇṭamālai (c) Khanāzīr"
SL09,"Laryngitis disorder (TM2)","(b) Kaṇṭa pittam (c) Waram al-Ḥanjara"
SL0Y,"Other specified neck and throat disorders (TM2)","Aññāṉattampam"
SL0Z,"Neck and throat disorders (TM2), unspecified","Neck and throat disorders (TM2), unspecified"
SL20,"Excessive sneezing disorder (TM2)","(a) kṣavathuḥ (c) ’ Uṭās"
SL21,"Hypernasal speech disorder (TM2)","(a) minminaḥ (c) Khunān"
SL2Y,"Other specified eye, ear, nose, throat and neck disorders (TM2)","Aggravated Aiyam leading to stridor disorder (TM2)"
SL2Z,"Eye, ear, nose, throat and neck disorders (TM2), unspecified","Eye, ear, nose, throat and neck disorders (TM2), unspecified"
SL40,"Bronchial asthma disorder (TM2)","(a) tamakaśvāsaḥ (b) Iraippu nōy (c) Ḍīq al-Nafas"
SL41,"Cough disorder (TM2)","(a) kāsaḥ (b) Irumal nōy (c) Su‘āl-o-Surfa"
SL42,"Dyspnoea disorder (TM2)","(a) śvāsaḥ (b) Iraippu nōy (c) ’ Usr al-Tanaffus"
SL4Y,"Other specified respiratory system disorders (TM2)","Chronic Aiyam leading to cough disorder (TM2)"
SL4Z,"Respiratory system disorders (TM2), unspecified","Respiratory system disorders (TM2), unspecified"
SL60,"Slow heart disorder (TM2)","(a) hṛnmohaḥ (c) Buṭū’ al-Qalb"
SL61,"Heart pain disorder (TM2)","(a) hṛdrogaḥ (b) Tamaraka nōy (c) Amrāḍ-i-Qalb wa Dawrān-i-Khūn"
SL62,"Palpitation disorder (TM2)","(a) hṛddravaḥ (b) Tuṭi pittam (c) Khafaqān"
SL6Y,"Other specified heart disorders (TM2)","Chest congestion disorder (TM2)"
SL6Z,"Heart disorders (TM2), unspecified","Heart disorders (TM2), unspecified"
SL70,"Varicose veins disorder (TM2)","(a) sirāgranthiḥ (b) Nāḷa vipāta puṭaippu (c) Dawālī"
SL71,"Varicose ulcer disorder (TM2)","(b) Naalavibatha viranam"
SL72,"Thickened arteries disorder (TM2)","(a) dhamanīpraticayaḥ (b) Vacu vātam (c) Tasaddud Shaḥmī Kilsī"
SL7Y,"Other specified circulatory disorders (TM2)","Arteriosclerosis disorder (TM2)"
SL7Z,"Circulatory disorders (TM2), unspecified","Circulatory disorders (TM2), unspecified"
SL80,"Anaemia disorder (TM2)","(a) pāṇḍurogaḥ (b) Veḷuppu nōy (c) Faqr al-Dam"
SL81,"Bleeding disorder disorder (TM2)","(a) raktapittam (b) Iratta pittam (c) Qatma"
SL8Y,"Other specified blood related disorders (TM2)","Hypoviscous blood disorder (TM2)"
SL8Z,"Blood related disorders (TM2), unspecified","Blood related disorders (TM2), unspecified"
SM00,"Lymphadenopathy disorder (TM2)","(a) apacī (b) Akkuḷ nilappūcaṇi kaṭṭi"
SM01,"Elephantiasis disorder (TM2)","(a) ślīpadaḥ (b) Yāṉaikkāl (c) Dā’ al-Fīl)"
SM0Y,"Other specified heart, blood and circulatory disorders (TM2)","Aiya iraippu nōy"
SM0Z,"Heart, blood and circulatory disorders (TM2), unspecified","Heart, blood and circulatory disorders (TM2), unspecified"
SM10,"Stomatitis disorder (TM2)","(a) āsyavipākaḥ (b) Akkaram (c) Qulā‘"
SM11,"Dental abscess disorder (TM2)","(a) dantavidradhiḥ (b) Pallaṭi Kaṭṭi (c) Fārūlas"
SM12,"Bruxism disorder (TM2)","(a) dantaghātaḥ (c) Ṣarīr al-Asnān"
SM13,"Pyorrhoea disorder (TM2)","(a) dantaveṣṭakaḥ (c) Taqayyuḥ al-Litha"
SM14,"Gingivitis disorder (TM2)","(a) upakuśaḥ (b) Pallaṭi Vīkkam (c) Waram al-Litha"
SM15,"Halitosis disorder (TM2)","(a) pūtimukhatā (b) Nāṉāṟṟam (c) Bakhr al-Fam"
SM16,"Sialorrhoea disorder (TM2)","(a) mukhasrāvaḥ (b) Aiyam mikutiyuṭaṉ vāyu cērntāl uṇṭākum kuṟikuṇaṅkaḷ. (c) Kathra al-Lu‘āb"
SM17,"Palatitis disorder (TM2)","(a) adhruṣaḥ (c) Waram al-Ḥanak"
SM18,"Uvulitis disorder (TM2)","(a) galaśuṇḍikā (c) Waram-i-Lahāt"
SM19,"Ludwig’s angina disorder (TM2)","(a) galagrahaḥ (c) Khunāq"
SM1A,"Odontalgia disorder (TM2)","(a) dālanaḥ (b) Pal kuttal (c) Waja‘ al-Asnān"
SM1B,"Bleeding gum disorder (TM2)","(a) paridaraḥ (b) Pallaṭi Kotippu (c) Litha Dāmiya"
SM1C,"Ranula disorder (TM2)","(a) upajihvikā (c) Ḍifda‘ al-Lisān"
SM1D,"Parotitis disorder (TM2)","(a) pāṣāṇagardabhaḥ (c) Waram Aṣl al-Udhun"
SM1E,"Dental caries disorder (TM2)","(a) dantanāḍī (c) Nawāṣīr al-Litha"
SM1F,"Dental plaque disorder (TM2)","(a) dantaśarkarā (b) Pallaṭi mañcaḷātal (c) Dā’ al-Ḥafr"
SM1G,"Discolouration of teeth disorder (TM2)","(a) śyāvadantakaḥ (b) Pal karuttal (c) Taghayyur Lawn al-Asnān"
SM1H,"Odontoseisis disorder (TM2)","(a) dantacālaḥ (b) Pallāṭṭam (c) Taḥarruk al-Asnān"
SM1J,"Sensitive teeth disorder (TM2)","(a) dantaharṣaḥ (b) Pal kūccam (c) Dhahāb Mā’ al-Asnān"
SM1K,"Lip chapping and bleeding disorder (TM2)","(a) abhighātaja-oṣṭhaprakopaḥ (b) Utaṭṭil aṭipaṭṭa vīkkam"
SM1L,"Itchy swollen lip diorder (TM2)","(a) kaphaja-ōṣṭhaprakōpaḥ (b) Miṉumiṉuppu utaṭu nōy"
SM1M,"Dry chapped lip disorder (TM2)","(a) vātaja-oṣṭhaprakopaḥ (b) Vaḷi Utaṭunōy (c) Tashaqquq al-Shafatayn"
SM1N,"Xerostomia disorder (TM2)","(a) mukhaśoṣaḥ (b) Nīli Akkaram (c) Jafāf-i-Lisān"
SM1P,"Ageusia disorder (TM2)","(a) arasajñatā (b) Cuvaiyiṉmai nōy (c) Buṭlān al-Dhawq"
SM1Y,"Other specified oral cavity disorders (TM2)","adhimāṃsaḥ"
SM1Z,"Oral cavity disorders (TM2), unspecified","Oral cavity disorders (TM2), unspecified"
SM30,"Haematemesis disorder (TM2)","(b) Kuruti vānti (c) Qay’ al-Dam"
SM31,"Abdominal distension disorder (TM2)","(a) ādhmānam (b) Mantam (c) Nafkh al-Mi‘da"
SM32,"Ascites disorder (TM2)","(a) udara (b) Peruvayiṟu nōy (c) Istisqā’ Ziqqī"
SM33,"Abdominal pain disorder (TM2)","(a) śūlaḥ (b) Vayiṟṟu Vaḷi (c) Waja‘ al-Mi‘da"
SM34,"Constipation disorder (TM2)","(a) vibandha (b) Malakkaṭṭu (c) Qabḍ"
SM35,"Volvulus disorder (TM2)","(a) udāvartaḥ (b) Calastampa vātam (c) Qūlanj Iltiwā’ī"
SM36,"Malabsorption disorder (TM2)","(a) grahaṇī (b) Niṇak kaẕiccal (c) Dharab-o-Khilfa"
SM37,"Diarrhoea disorder (TM2)","(a) atisāraḥ (b) Peruṅ kaẕiccal (c) Ishāl"
SM38,"Dysentery disorder (TM2)","(a) pravāhikā (b) Niṇak kaẕiccal (c) Zaḥīr"
SM39,"Dyspepsia disorder (TM2)","(a) amlapittam (b) Cavviraṅka vātam (c) Fasād al-Haḍm"
SM3A,"Hyperacidity disorder (TM2)","(b) Vaṉṉi pittam (c) Ḥurqa al-Mi‘da"
SM3B,"Indigestion disorder (TM2)","(a) ajīrṇam (b) Ceriyāmai (c) Ḍu‘f al-Haḍm"
SM3C,"Food stasis indigestion disorder (TM2)","(a) alasaka (b) Mānta nōy (c) Tukhma"
SM3D,"Duodenal ulcer disorder (TM2)","(a) pariṇāmaśūlaḥ (b) Vaḷi kuṉmam"
SM3E,"Gastric ulcer disorder (TM2)","(a) annadravaśūlaḥ (b) Eri kuṉmam (c) Qarḥa wa Buthūr al-Mi‘da"
SM3F,"Gastritis disorder (TM2)","(a) vātapaittikaśūlaḥ (b) Aẕal kuṉmam (c) Waram al-Mi‘da"
SM3G,"Hernia disorder (TM2)","(a) antra-vṛddhiḥ (b) Kuṭal vātam (c) Fatq"
SM3H,"Nausea disorder (TM2)","(a) utkleśaḥ (c) Ghathayān"
SM3J,"Retching disorder (TM2)","(a) vātaja-chardiḥ (b) Vaḷi Vānti (c) Tahawwu‘"
SM3K,"Abdominal lumps disorder (TM2)","(a) gulmaḥ (b) Kuṉmam"
SM3L,"Vomiting disorder (TM2)","(a) chardiḥ (b) Vānti (c) Qay’"
SM3Y,"Other specified abdominal cavity disorders (TM2)","amlakaḥ"
SM3Z,"Abdominal cavity disorders (TM2), unspecified","Abdominal cavity disorders (TM2), unspecified"
SM40,"Liver abscess disorder (TM2)","(a) yakr̥jjavidradhiḥ (b) Kallīral Kaṭṭi (c) Dubayla al-Kabid"
SM41,"Jaundice disorder (TM2)","(a) kāmalā (b) Mañcaḷ nōy (c) Yarqān Aṣfar"
SM42,"Hepatomegaly disorder (TM2)","(a) yakṛddālyudaraḥ (b) Vaḷi Kallīral Nōy (c) ‘Iẓam al-Kabid"
SM43,"Hepatitis disorder (TM2)","(b) Aṭcēpakavātam"
SM44,"Splenomegaly disorder (TM2)","(a) plīharogaḥ (b) Pilīkavirutti"
SM4Y,"Other specified liver and Spleen disorders (TM2)","Accumulation of Rīḥ in the spleen disorder (TM2)"
SM4Z,"Liver and Spleen disorders (TM2), unspecified","Liver and Spleen disorders (TM2), unspecified"
SM50,"Proctalgia disorder (TM2)","(a) gudārtiḥ (b) Pūcuvātam"
SM51,"Anal fissure disorder (TM2)","(a) parikartikā (c) Shuqāq al-Maq‘ad"
SM52,"Fistula in ano disorder (TM2)","(a) bhagandaraḥ (b) Pavuttiram (c) Nawāṣīr Nāfidha"
SM53,"Haemorrhoids disorder (TM2)","(a) arśaḥ (b) Eruvāy muḷai nōy (c) Bawāsīr"
SM54,"Proctitis disorder (TM2)","(a) gudakuṭṭanam"
SM55,"Rectal prolapse disorder (TM2)","(a) gudabhraṃśaḥ (b) Virēki Aṭittaḷḷal (c) Khurūj al-Maq‘ad"
SM56,"Anal abscess disorder (TM2)","(a) gudajavidradhi (b) Eruvāykkaṭṭi (c) Nawāṣīr Ghayr Nāfidha"
SM5Y,"Other specified anorectal disorders (TM2)","Anal stenosis disorder (TM2)"
SM5Z,"Anorectal disorders (TM2), unspecified","Anorectal disorders (TM2), unspecified"
SM70,"Flank pain disorder (TM2)","(a) pārśvarujaḥ (b) Āma cūlai (c) Shūṣa"
SM71,"Anorexia disorder (TM2)","(a) arocakaḥ (c) Buṭlān al-Ishtihā’"
SM72,"Bowel inflammation disorder (TM2)","(a) raktaja-pravāhikā (b) Mirut vātam (c) Saḥj wa Qurūḥ al-Am‘ā’"
SM73,"Infantile tenesmus disorder (TM2)","(a) kṣīrālasakaḥ (b) Māntam (c) Maghṣ al-Aṭfāl"
SM74,"Hiccough disorder (TM2)","(a) hikkā (b) Vikkal nōy (c) Fuwāq"
SM75,"Dynamic intestinal obstruction disorder (TM2)","(a) ūrdhvavātaḥ (c) Īlā’ūs"
SM76,"Severe vomiting and diarrhoea disorder (TM2)","(a) visūcikā (b) Ūẕi nōy (c) Hayḍa"
SM7Y,"Other specified gastro-intestinal disorders (TM2)","Aggravated Aiyam disorder leading to ulceration in throat (TM2)"
SM7Z,"Gastro-intestinal disorders (TM2), unspecified","Gastro-intestinal disorders (TM2), unspecified"
SM80,"Renal abscess disorder (TM2)","(a) vr̥kkajavidradhiḥ (b) Mūttiranāḷakkaṭṭi (c) Dubayla al-Kulya"
SM81,"Retention of urine disorder (TM2)","(a) mūtranigrahaḥ (b) Nīrkkaṭṭu (c) Iḥtibās al-Bawl"
SM82,"Insufficiency of the urinary bladder disorder (TM2)","(a) mūtrāghātaḥ (b) Nīraṭaippu (c) Ḍu‘f al-Mathāna"
SM83,"Renal colic disorder (TM2)","(a) tūnī (b) Aẕal nīrccurukku (c) Qūlanj Kulwī"
SM84,"Nephritis disorder (TM2)","(a) mūtrakṣayaḥ (b) Nīrkkaṭṭu (c) Waram al-Kulya"
SM85,"Cystitis disorder (TM2)","(b) Aiya Nīrccurukku (c) Waram al-Mathāna"
SM86,"Wound of the urinary bladder disorder (TM2)","(b) Ciṟunīr pātaiyiṉ kāyaṅkaḷ (c) Qurūḥ al-Mathāna"
SM87,"Dysuria disorder (TM2)","(a) mūtrakṛcchram (b) Nīrccurukku (c) ‘Usr al-Bawl"
SM88,"Dribbling of urine disorder (TM2)","(a) vātakuṇḍalikā (b) Coṭṭu nīr (c) Taqṭīr al-Bawl"
SM89,"Thick urine disorder (TM2)","(a) mūtraukasādaḥ (c) Bawl Ghalīẓ"
SM8A,"Haematuria disorder (TM2)","(a) lohitamehaḥ (b) Aẕal Nīrccurukku (c) Bawl al-Dam"
SM8B,"Urinary incontinence disorder (TM2)","(a) vātabastiḥ (b) Ciṟunīriṉ māṟutalkaḷ (c) Salas al-Bawl"
SM8C,"Urinary stone disorder (TM2)","(a) aśmarī (b) Kallaṭaippu (c) Ḥaṣā wa Raml al-Kulya"
SM8D,"Polyuria disorder (TM2)","(a) pramehaḥ (b) Nīriṉaipperukkal nōykaḷ (c) Kathra al-Bawl"
SM8Y,"Other specified urinary system disorders (TM2)","Anuria"
SM8Z,"Urinary system disorders (TM2), unspecified","Urinary system disorders (TM2), unspecified"
SM90,"Amenorrhoea disorder (TM2)","(a) arajaskā (b) Kukaraṇa mey cūtakataṭai (c) Iḥtibās al-Tamth"
SM91,"Endocervicitis disorder (TM2)","(a) karṇinī (b) Karuppaik kaẕuntu uḷpuṟa aẕaṟci"
SM92,"Bartholin's cyst disorder (TM2)","(a) yonikandaḥ (b) Surappikallutaiya Athaippu"
SM93,"Leucorrhoea disorder (TM2)","(a) śvetapradaraḥ (b) Veḷḷai nōy (c) Sayalān al-Raḥim"
SM94,"Female infertility disorder (TM2)","‘Usr-i-Ḥabl"
SM95,"Vaginitis disorder (TM2)","(a) pariplutā (b) Yōṉi tāpitam"
SM96,"Dysmenorrhoea disorder (TM2)","(a) udāvartinī (b) Cūtaka Vaḷi (c) ‘Usr al-Tamth"
SM97,"Hypomenorrhoea disorder (TM2)","(a) lohitakṣayā (c) Qillat-i-Tamth"
SM98,"Dysfunctional uterine bleeding disorder (TM2)","(a) asṛgdaraḥ (b) Acātāraṇa perumpāṭu (c) Kathrat-i-Ḥayḍ"
