Code,Title,Index_Terms
SM99,"Uterine polyps disorder (TM2)","(a) yoni-arśaḥ (b) Karuppai kāmpu kaẕalai (c) Bawāsīr al-Raḥim"
SM9A,"Uterine prolapse disorder (TM2)","(a) mahāyoniḥ (b) Karuppai aṭittaḷḷal (c) Inzilāq al-Raḥim"
SM9B,"Vaginismus disorder (TM2)","(a) viplutā (b) Cūlai Yōṉi"
SM9C,"Metritis disorder (TM2)","(a) makkallaḥ (b) Karuppai uḷkavaca tāpitam (c) Waram al-Raḥim"
SM9Y,"Other specified female Reproductive System disorders (TM2)","‘Iẓam al-Raḥim"
SM9Z,"Female Reproductive System disorders (TM2), unspecified","Female Reproductive System disorders (TM2), unspecified"
SN00,"Balanitis disorder (TM2)","(a) meḍhrapākaḥ (b) Aiya Kallaṭaippu (c) Waram al-Qaḍīb"
SN01,"Hydrocele disorder (TM2)","(a) vṛddhiḥ (b) Tantira veṭṭi vātam (c) Qīla Mā’iyya"
SN02,"Erectile dysfunction disorder (TM2)","(a) klaibyam (b) Vīriyamiṉmai (c) Istirkhā’ al-Qaḍīb"
SN03,"Oligospermia disorder (TM2)","(a) śukrakṣayaḥ (b) Āṇ malaṭu (c) Qilla al-Manī"
SN04,"Mustard- size boils on penis disorder (TM2)","(a) sarṣapikā (b) Kaṭuku koppuḷam"
SN05,"Orchitis disorder (TM2)","(b) Pījastampa vātam (c) Waram al-Khuṣyatayn"
SN06,"Penile growth disorder (TM2)","(a) meḍhraja-arśaḥ (b) Tāmaraikkāyttaṭippu (c) Tha’ālīl al-Dhakar"
SN07,"Priapism disorder (TM2)","(a) śephastambhaḥ (c) Farīsmūs"
SN08,"Prostatic enlargement disorder (TM2)","(a) vātāṣṭhīlā (c) Iẓam-i-Ghudda'-i-Madhī"
SN09,"Spermatorrhoea disorder (TM2)","(a) mūtraśukraḥ (b) Veṇṇīr (c) Jarayān"
SN0A,"Phimosis disorder (TM2)","(a) niruddhaprakaśaḥ (b) Tōl taṭaippuṇ"
SN0Y,"Other specified male Reproductive System disorders (TM2)","Anaphrodisia disorder (TM2)"
SN0Z,"Male Reproductive System disorders (TM2), unspecified","Male Reproductive System disorders (TM2), unspecified"
SN10,"Decreased breastmilk disorder (TM2)","(a) stanyakṣayaḥ (c) Qilla al-Laban"
SN11,"Vitiated breast milk disorder (TM2)","(a) stanyaduṣṭiḥ (b) Pāl etireṭuttal"
SN12,"Recurrent pregnancy loss disorder (TM2)","(a) jātaghnī (b) Kuṇa avatāṉakam (c) Isqāṭ ‘Ādī"
SN1Y,"Other specified pregnancy and childbirth related disorders (TM2)","Cūl Uṭal cōrvu"
SN1Z,"Pregnancy and childbirth related disorders (TM2), unspecified","Pregnancy and childbirth related disorders (TM2), unspecified"
SN30,"Gonorrhoea disorder (TM2)","(a) upadaṃśaḥ (b) Korukku nōy (c) Sozāk"
SN31,"Syphillis disorder (TM2)","(a) phiraṅgaroga (b) Veṭṭai nōy (c) Ātshak"
SN3Y,"Other specified urinary and reproductive system disorders (TM2)","Genital pain disorder (TM2)"
SN3Z,"Urinary and reproductive system disorders (TM2), unspecified","Urinary and reproductive system disorders (TM2), unspecified"
SN40,"Dermatitis disorder (TM2)","(a) rakasā (b) Karappāṉ pittam"
SN41,"Discoloration of body disorder (TM2)","(a) kārṣṇyam (b) Valli Nhooyaallar Utal Nhirram (c) Fasād al-Lawn"
SN42,"Dryness of skin disorder (TM2)","(a) raukṣyam (b) Tōl vaṟaṭci (c) Shuqūq al-Aṭrāf wa’l Wajh"
SN43,"Eczema disorder (TM2)","(a) vicarcikā (b) Vātak karappāṉ (c) Nār Fārsī"
SN44,"Foul body smelling disorder (TM2)","(a) aṅga-durgandhaḥ (c) ‘Araq Muntin"
SN45,"Excess of sweat disorder (TM2)","(a) atisvedaḥ (c) Ifrāṭ al-‘Araq"
SN46,"Scabies disorder (TM2)","(a) pāmā (kacchū) (b) Coṟi ciraṅku (c) Jarab"
SN47,"Drancunculosis disorder (TM2)","(a) snāyukarogaḥ (c) ‘Irq Madīnī"
SN48,"Intertrigo disorder (TM2)","(a) alasaḥ (c) Mazaḥ"
SN49,"Integumentary disorder (TM2)","(a) dhātugatakuṣṭhaḥ (b) Ciraṅkup perunōy (c) Judhām"
SN4A,"Psoriasis disorder (TM2)","(a) sidhmaḥ (b) Kāḷāñcakappaṭai (c) Taqashshur al-Jild"
SN4B,"Ichthyosis disorder (TM2)","(a) ekakuṣṭhaḥ (c) Qūbā Mutaqashshir"
SN4C,"Scaling of scalp and forehead skin disorder (TM2)","(a) keśabhūmisphuṭanam (c) Qushūr al-Jabha"
SN4D,"Vitiligo disorder (TM2)","(a) śvitraḥ (b) Veṇpuḷḷi (c) Baraṣ"
SN4E,"Lentigo disorder (TM2)","(a) tilakaḥ (c) Barash"
SN4F,"Birth mark - blackish red disorder (TM2)","(a) jatumaṇiḥ (c) Namash"
SN4G,"Melasma disorder (TM2)","(a) vyaṅgaḥ (c) Kalaf"
SN4H,"Mole disorder (TM2)","(a) maṣakaḥ (b) Maccam (c) Khīlān"
SN4J,"Black red skin lesion disorder (TM2)","(a) kākaṇakaḥ (b) Karu perunōy"
SN4K,"Urticaria disorder (TM2)","(a) śītapittam (b) Kāṇākkaṭi (c) Sharā"
SN4L,"Wheal disorder (TM2)","(a) koṭhaḥ (b) Tōltaṭippu (c) Sharā Damawī"
SN4M,"Boil disorder (TM2)","(b) Koppuḷam (c) Dummal"
SN4N,"Prickly heat disorder (TM2)","(a) rājikā (b) Vērkkuru (c) Ḥaṣaf"
SN4P,"Pemphigus vulgaris disorder (TM2)","(a) visphoṭakaḥ (b) Koppuḷa perunōy (c) Naffāṭāt"
SN4Q,"Scar marks disorder (TM2)","(b) Taẕumpu (c) Āthār al-Qurūḥ"
SN4R,"Roughness of skin disorder (TM2)","(a) pāruṣyam (b) Vīkkam (c) Taqashshuf al-Jild"
SN4S,"Verruca disorder (TM2)","(a) carmakīlaḥ (b) Maruḷ (c) Tha’ālīl"
SN4T,"Herpes disorder (TM2)","(a) kakṣāḥ (b) Akki (c) Namla"
SN4U,"Ring worm infection disorder (TM2)","(a) dadru-kuṣṭhaḥ (b) Paṭartāmarai (c) Qūbā"
SN4V,"Acne disorder (TM2)","(a) yuvānapiḍakā (b) Mukapparu (c) Buthūr Labaniyya"
SN4W,"Ulcer disorder (TM2)","(a) vraṇaḥ (b) Puṇ (c) Jurūḥ"
SN5Y,"Other specified skin disorders (TM2)","‘Araq al-Dam"
SN5Z,"Skin disorders (TM2), unspecified","Skin disorders (TM2), unspecified"
SN60,"Brittle nails disorder (TM2)","(a) nakhabhedaḥ (c) Ẓufra Ṭalqiyya"
SN6Y,"Other specified nail disorders (TM2)","(a) kunakhaḥ (b) Nakaccuṟṟu (c) Dākhis"
SN6Z,"Nail disorders (TM2), unspecified","Nail disorders (TM2), unspecified"
SN70,"Furunculosis of scalp disorder (TM2)","(a) arūṃṣikā (b) Aẕal kapālak karappāṉ"
SN71,"Baldness disorder (TM2)","(a) khālityam (b) Mayir utiral (c) Ṣala‘"
SN72,"Folliculitis disorder (TM2)","(a) arūṃṣikā (c) Sa‘fa"
SN73,"Premature greying of hair disorder (TM2)","(a) akālapalitaḥ (b) Iḷanarai (c) Shayb"
SN7Y,"Other specified hair disorders (TM2)","Dryness over the scalp disorder (TM2)"
SN7Z,"Hair disorders (TM2), unspecified","Hair disorders (TM2), unspecified"
SN90,"Patchy alopecia disorder (TM2)","(a) indraluptaḥ (b) Puẕuveṭṭu (c) Dā’ al-Tha‘lab"
SN91,"Dandruff disorder (TM2)","(a) dāruṇakaḥ (b) Poṭuku, Cuṇṭu (c) Ḥazāz-o-Ibriyya"
SN92,"Carbuncle disorder (TM2)","(a) piḍakā (b) Piḷavai (c) Jamra"
SN9Y,"Other specified skin, nail and hair disorders (TM2)","(a) kadaraḥ (b) Kāl āṇi, Kāyppu (c) Qurūn"
SN9Z,"Skin, nail and hair disorders (TM2), unspecified","Skin, nail and hair disorders (TM2), unspecified"
SP00,"Osteoporosis disorder (TM2)","(a) asthiśoṣaḥ (c) Wahn al-‘Iẓām"
SP0Y,"Other specified bone disorders (TM2)","adhyasthiḥ"
SP0Z,"Bone disorders (TM2), unspecified","Bone disorders (TM2), unspecified"
SP10,"Polyarthritis disorder (TM2)","(a) vātaraktam (b) Vātacurōṇitam (c) Waja‘ al-Mafāṣil"
SP11,"Rheumatism disorder (TM2)","(a) āmavātaḥ (b) Vaḷikkīlvāyu (c) Ḥudār"
SP12,"Osteoarthritis disorder (TM2)","(a) sandhigatavātaḥ (b) Aẕal kīl vāyu (c) Taḥajjur wa Ṣalāba al-Mafāṣil"
SP13,"Hip joint pain disorder (TM2)","(a) śroṇibhedaḥ (b) Toṭai maiya varmam (c) Waja‘ al-Warik"
SP14,"Gout disorder (TM2)","(a) pittaja-vātaraktam (b) Vātakarṣaṇam (c) Niqris"
SP15,"Frozen shoulder disorder (TM2)","(a) avabāhukaḥ (b) Kumpa vātam"
SP1Y,"Other specified joint disorders (TM2)","Aiyaaẕal kīlvāyu"
SP1Z,"Joint disorders (TM2), unspecified","Joint disorders (TM2), unspecified"
SP20,"Muscle pain, twisting disorder (TM2)","(a) khallī (b) Vaḷi cūlai (c) Tashannuj Īdhā’ī"
SP21,"Atony disorder (TM2)","(a) aṅgavibhraṁśaḥ (c) Istirkhā’"
SP2Y,"Other specified muscle disorders (TM2)","(a) māṃsakledaḥ"
SP2Z,"Muscle disorders (TM2), unspecified","Muscle disorders (TM2), unspecified"
SP40,"Achillodynia disorder (TM2)","(a) vātakaṇṭakam (c) Waja‘ al-‘Aqib"
SP41,"Sciatica disorder (TM2)","(a) gṛdhrasī (c) ‘Irq al-Nasā"
SP42,"Lumbar spondylosis disorder (TM2)","(a) pṛṣṭha-grahaḥ (b) Taṇṭaka vātam (c) Waja‘ al-Ẓahr"
SP43,"Lumbo-sacroiliac disorder (TM2)","(b) Vātastampam (c) Waja‘ al-Khāṣira"
SP44,"Torticollis disorder (TM2)","(a) manyāstambhaḥ (b) Puṟa Icivu"
SP45,"Cervical spondylosis disorder (TM2)","(a) grīvāstambhaḥ (b) Cakaṉa Vātam"
SP46,"Log thigh disorder (TM2)","(a) ūrustambhaḥ (b) Ūrustampavātam"
SP4Y,"Other specified bone, joint and muscle disorders (TM2)","Aggravation of Vaḷi and Aẕal disorder causing inflammation of cervix and ovary (TM2)"
SP4Z,"Bone, joint and muscle disorders (TM2), unspecified","Bone, joint and muscle disorders (TM2), unspecified"
SP50,"Enteric fever disorder (TM2)","(b) Vātakapa curam (c) Ḥummā Mi‘wiyya"
SP51,"Fever disorder (TM2)","(a) jvara (b) Taṉvaẕi curam (c) Ḥummā"
SP52,"Fever disorder due to derangement of Balgham (TM2)","(a) kaphajajvaraḥ (b) Kapa curam (c) Ḥummā Lathiqa"
SP53,"Fever disorder due to derangement of Ṣafrā (TM2)","(a) paittikajvaraḥ (b) Pitta curam (c) Ḥummā al-Ghibb"
SP54,"Fever with body pain disorder (TM2)","(a) vātikajvaraḥ (b) Vāta curam"
SP55,"Fever with chills disorder (TM2)","(b) Naḷir curam / Kuḷir curam (c) Ḥummā al-Ghibb Dā’ira"
SP56,"High grade fever disorder (TM2)","(b) Ceṅkaṟaic curam (c) Ḥummā ‘Ufūniyya"
SP57,"Intermittent fever disorder (TM2)","(a) viṣamajvaraḥ (b) Viṭṭuvarum curam (c) Ḥummā Dā’ira"
SP58,"Continuous fever disorder (TM2)","(a) santata (c) Ḥummā Dā’ima"
SP59,"Fever disorder due to external factor (TM2)","(a) āgantujvaraḥ (b) Piṟavaẕi curam"
SP5A,"Inflammation with morbid matter disorder (TM2)","(a) vraṇaśophaḥ (b) Aṭipaṭṭa vīkka (c) Waram Māddī"
SP5B,"Consumptive disorder (TM2)","(a) rājayakṣmā (b) Iḷaippu nōy (c) Ḥummā Diqqiyya"
SP5Y,"Other specified fever disorders (TM2)","Chicken pox disorder (TM2)"
SP5Z,"Fever disorders (TM2), unspecified","Fever disorders (TM2), unspecified"
SP60,"Diabetes mellitus disorder (TM2)","(a) madhumehaḥ (b) Nīriẕivu (c) Dhayābīṭus"
SP61,"Emaciation disorder (TM2)","(a) kārśyam (b) Asvatampa vātam (c) Huzāl"
SP62,"High fat disorder (TM2)","(a) medovṛddhiḥ (b) Miku koẕuppu nōy"
SP63,"Polydipsia disorder (TM2)","(a) tṛṣṇā (b) Nīr vēṭkai nōy (c) ‘Aṭsh Mufriṭ"
SP64,"Obesity disorder (TM2)","(a) medorogaḥ (b) Atitūla nōy (c) Siman Mufriṭ"
SP6Y,"Other specified metabolic disorders (TM2)","Other specified metabolic disorders (TM2)"
SP6Z,"Metabolic disorders (TM2), unspecified","Metabolic disorders (TM2), unspecified"
SP70,"Lipoma disorder (TM2)","(a) medojagranthi (b) Koẕuppu kaẕalai (c) Sal‘a Shaḥmiyya"
SP71,"Benign tumour disorder (TM2)","(a) granthi (b) Itara puṟṟunōykaḷ (c) Sal‘āt"
SP72,"Deep rooted spreading tumour disorder (TM2)","(a) arbudaḥ (b) Vippuruti (c) Saraṭan"
SP7Y,"Other specified tumours disorders (TM2)","Breast tumor disorder (TM2)"
SP7Z,"Tumours disorders (TM2), unspecified","Tumours disorders (TM2), unspecified"
SP90,"Abscess disorder (TM2)","(a) vidradhiḥ (b) Kaṭṭi (c) Khurāj"
SP91,"Generalised oedema disorder (TM2)","(a) sarvasara-śōthaḥ (b) Cōkai (c) Istisqā’ Laḥmī"
SP92,"Oedema disorder (TM2)","(a) śvayathuḥ/śothaḥ (c) Ūdhīma"
SP93,"Impaired immunity disorder (TM2)","(a) ojovaiṣamyam (b) Iyaṟkai vaṉmai kuṟaivu (c) Ḍu‘f-i-Ḥarārat Gharīziyya"
SP94,"Inflammation disorder (TM2)","(a) śophaḥ (b) Tāpitam (c) Waram"
SP95,"Excessive yawning disorder (TM2)","(a) jr̥mbhā (b) Koṭṭāvi (c) Kathra al-Tathā’ub"
SP96,"Laziness disorder (TM2)","(a) ālasyam (c) Lawā-o-Fayḥadhaj"
SP97,"Severe fatigue disorder (TM2)","(a) klamaḥ (b) Aẕal cūlai"
SP98,"Syncope disorder (TM2)","(a) mūrcchā (b) Mūrccai (c) Ghashī"
SP99,"Pruritus disorder (TM2)","(a) kaṇḍūḥ (b) Pitta Viṭapākam (c) Ḥikka"
SP9A,"General debility disorder (TM2)","(a) daurbalyam (b) Tēka vaṉmai kuṟaivu (c) Ḍu‘f-i-‘Ām"
SP9Y,"Other specified disorders affecting the whole body (TM2)","Abscess in the axilla disorder (TM2)"
SP9Z,"Disorders affecting the whole body (TM2), unspecified","Disorders affecting the whole body (TM2), unspecified"
SQ00,"Delirium disorder (TM2)","(a) atipralāpaḥ (b) Caṉṉi nōy (c) Hadhayān"
SQ01,"Hallucination disorder (TM2)","(a) buddhisaṁmōhaḥ (b) Piramai (c) khiyAlAt-e bAteleh"
SQ02,"Hysteria disorder (TM2)","(b) Cūtikāvātam (c) Ikhtināq al-Raḥim"
SQ03,"Insanity disorder (TM2)","(a) unmādaḥ (b) Uṉmatam (c) Junūn"
SQ04,"Depressive disorder (TM2)","(a) kaphaja-unmādaḥ (b) Uṉmāta pittam (c) Mālankhūliyā"
SQ05,"Lack of concentration, confusion disorder (TM2)","(a) anavasthitacittatvam (c) Ikhtlāṭ al-Dhahn"
SQ0Y,"Other specified mental disorders (TM2)","Amnesia disorder (TM2)"
SQ0Z,"Mental disorders (TM2), unspecified","Mental disorders (TM2), unspecified"
SQ10,"Anxiety ephemeral fever disorder (TM2)","(a) mana-santāpaḥ (b) Paya Curam (c) Ḥummā al-Yawm Fikriyya"
SQ1Y,"Other specified emotional disorders (TM2)","Other specified emotional disorders (TM2)"
SQ1Z,"Emotional disorders (TM2), unspecified","Emotional disorders (TM2), unspecified"
SQ20,"Alcoholism disorder (TM2)","(a) madātyayaḥ (b) Kuṭi veṟi nōy (c) Kathrat-i-Sharāb Noshī"
SQ21,"Egomania disorder (TM2)","(b) Cerukku nōy (c) Ru‘ūnat"
SQ22,"Non alcoholic intoxication disorder (TM2)","(a) madaḥ (b) Matam"
SQ23,"Panic attack disorder (TM2)","(b) Mayakka nōy (c) Ghashī Nafsānī"
SQ24,"Insomnia disorder (TM2)","(a) asvapnaḥ"
SQ2Y,"Other specified behavioural disorders (TM2)","akālaśayanam"
SQ2Z,"Behavioural disorders (TM2), unspecified","Behavioural disorders (TM2), unspecified"
SQ40,"Hypersomnia disorder (TM2)","(a) nidrādhikyam (c) Subāt"
SQ41,"Lycanthropy disorder (TM2)","(a) pittaja-unmādaḥ (b) Acāttiya pittam (c) Quṭrub"
SQ4Y,"Other specified mental, emotional and behavioural disorders (TM2)","Aggravated Aiyam leading to schizophrenia disorder (TM2)"
SQ4Z,"Mental, emotional and behavioural disorders (TM2), unspecified","Mental, emotional and behavioural disorders (TM2), unspecified"
SQ50,"Worm infestation disorder (TM2)","(a) kṛmiḥ (b) Puẕu nōykaḷ (c) Dīdān al-Am‘ā’"
SQ5Y,"Other specified infestation disorders (TM2)","Other specified infestation disorders (TM2)"
SQ5Z,"Infestation disorders (TM2), unspecified","Infestation disorders (TM2), unspecified"
SQ60,"Pseudo poisoning disorder (TM2)","(a) śaṅkhaviṣaḥ (b) Viṭappāka rōkam"
SQ61,"Artificial poison disorder (TM2)","(a) garaviṣaḥ (b) Iṭumaruntu nañcu"
SQ6Y,"Other specified poisoning disorders (TM2)","(a) dhātu-viṣaḥ (b) Ulōka nañcu"
SQ6Z,"Poisoning disorders (TM2), unspecified","Poisoning disorders (TM2), unspecified"
SQ80,"Inadequate diet disorders (TM2)","(a) hīnamātrāhāraḥ (b) Ūṭṭaccattu kuṟaipāṭu nōykaḷ"
SQ8Y,"Other specified external factors disorders (TM2)","Aggravation of Aẕal due to drugs disorder disorder (TM2)"
SQ8Z,"External factors disorders (TM2), unspecified","External factors disorders (TM2), unspecified"
SR00,"Marasmus disorder (TM2)","(a) kumāraśoṣaḥ (b) Varaṭ kaṇam"
SR01,"Bed wetting disorder (TM2)","(a) śayyāmūtratvam (c) Bawl fi’l Farāsh"
SR02,"Infantile dysentry disorder (TM2)","(b) Māntak kaẕiccal (c) Zaḥīr al-Aṭfāl"
SR03,"Infantile epilepsy disorder (TM2)","(a) Skanda Apasmara (b) Kākkai Vaḷippu (c) Ṣar‘ al-Aṭfāl"
SR04,"Ophthalmia neonatarum disorder (TM2)","(a) kukūṇakaḥ (b) Amaram"
SR05,"Childhood malnutrition disorder (TM2)","(a) pārigarbhikaḥ (b) Nīrāmakkaṇam"
SR06,"Oral thrush in babies disorder (TM2)","(b) Kumari akkaram (c) Qulā‘-i-Ṣibyān"
SR0Y,"Other specified childhood disorders (TM2)","buddhimāndyam"
SR0Z,"Childhood disorders (TM2), unspecified","Childhood disorders (TM2), unspecified"
SR10,"Vitiation of vāta pattern (TM2)","vātaprakopaḥ"
SR11,"Accumulation of Vata pattern (TM2)","Accumulation of Vata pattern (TM2)"
SR12,"Aggravation of vata pattern (TM2)","Aggravation of vata pattern (TM2)"
SR13,"Spreading of vata pattern (TM2)","Spreading of vata pattern (TM2)"
SR14,"Depletion of vata pattern (TM2)","Depletion of vata pattern (TM2)"
SR15,"Vitiation of pitta pattern (TM2)","pittaprakopaḥ"
SR16,"Accumulation of pitta pattern (TM2)","Accumulation of pitta pattern (TM2)"
SR17,"Aggravation of pitta pattern (TM2)","Aggravation of pitta pattern (TM2)"
SR18,"Spreading of pitta pattern (TM2)","pittaprasaraḥ"
SR19,"Depletion of pitta pattern (TM2)","Depletion of pitta pattern (TM2)"
SR1A,"Vitiation of kapha pattern (TM2)","kaphaprakopaḥ"
SR1B,"Accumulation of kapha pattern (TM2)","Accumulation of kapha pattern (TM2)"
SR1C,"Aggravation of kapha pattern (TM2)","Aggravation of kapha pattern (TM2)"
SR1D,"Spreading of kapha pattern (TM2)","kaphaprasaraḥ"
SR1E,"Depletion of kapha pattern (TM2)","Depletion of kapha pattern (TM2)"
SR1F,"Increase of Vaḷi (Vaḷi humour) pattern (TM2)","Increase of Vaḷi (Vaḷi humour) pattern (TM2)"
SR1G,"Increase of Aẕal pattern (TM2)","Aḻal mikukuṇam"
SR1H,"Increase of Aiyam pattern (TM2)","Aiyam mikukuṇam"
SR1J,"Decrease of Vaḷi (Vaḷi humour) pattern (TM2)","Decrease of Vaḷi (Vaḷi humour) pattern (TM2)"
SR1K,"Decrease of Aẕal pattern (TM2)","Aḻal kuṟaikuṇam"
SR1L,"Decrease of Aiyam pattern (TM2)","Aiyam kuṟaikuṇam"
SR1M,"Predominance of Dam pattern (TM2)","Ghalaba’-i-Dam"
SR1N,"Predominance of Ṣafrā’ pattern (TM2)","Ghalaba’-i-Ṣafrā’"
SR1P,"Predominance of Balgham pattern (TM2)","Ghalaba’-i-Balgham"
SR1Q,"Predominance of Sawdā’ pattern (TM2)","Ghalaba’-i-Sawdā’"
SR1R,"Blood thickening pattern (TM2)","Blood thickening pattern (TM2)"
SR1S,"Blood thinning pattern (TM2)","Blood thinning pattern (TM2)"
SR1T,"Blood deficiency pattern (TM2)","Blood deficiency pattern (TM2)"
SR1U,"Blood hyperviscosity pattern (TM2)","Blood hyperviscosity pattern (TM2)"
SR1V,"Spoilage of humors pattern (TM2)","Fasād-i-Khilṭ"
SR1W,"Burning of humors pattern (TM2)","Burning of humors pattern (TM2)"
SR1X,"Thickening of humors pattern (TM2)","ghelzat-e khelt"
SR20,"Pattern of occlusion (TM2)","annāvṛtavātaḥ"
SR2Y,"Other specified functional elements and humoral derangement patterns (TM2)","Other specified functional elements and humoral derangement patterns (TM2)"
SR2Z,"Functional elements and humoral derangement patterns (TM2), unspecified","Functional elements and humoral derangement patterns (TM2), unspecified"
SR40,"Vitiation of ""primary structural components of the body"" pattern (TM2)","dhātuvaiṣamyam"
SR41,"Aggravation of primary circulating nutrient fluid pattern (TM2)","Aggravation of primary circulating nutrient fluid pattern (TM2)"
SR42,"Depletion of primary circulating nutrient fluid pattern (TM2)","Cāram kuṟaikuṇam"
SR43,"Morbid increase of blood pattern (TM2)","Cennīr mikukuṇam"
SR44,"Depletion of blood pattern (TM2)","Cennīr kuṟaikuṇam"
SR45,"Excessive increase of muscular tissues pattern (TM2)","Excessive increase of muscular tissues pattern (TM2)"
SR46,"Depletion of muscular tissues pattern (TM2)","Depletion of muscular tissues pattern (TM2)"
SR47,"Increase of adipose tissues pattern (TM2)","Increase of adipose tissues pattern (TM2)"
SR48,"Depletion of adipose tissues pattern (TM2)","Depletion of adipose tissues pattern (TM2)"
SR49,"Increase of bone tissues pattern (TM2)","asthivṛddhiḥ"
